district,category,subcategory,year,0
Darwin Crime Statistics,"06 Robbery, extortion and related offences", 061 Robbery,2014 Q2,13
Darwin Crime Statistics,"06 Robbery, extortion and related offences", 061 Robbery,2014 Q3,17
Darwin Crime Statistics,"06 Robbery, extortion and related offences", 061 Robbery,2014 Q4,18
Darwin Crime Statistics,"06 Robbery, extortion and related offences", 061 Robbery,2015 Q1,17
Darwin Crime Statistics,"06 Robbery, extortion and related offences", 061 Robbery,2015 Q2,6
Darwin Crime Statistics,"06 Robbery, extortion and related offences", 061 Robbery,2015 Q3,9
Darwin Crime Statistics,"06 Robbery, extortion and related offences", 061 Robbery,2015 Q4,19
Darwin Crime Statistics,"06 Robbery, extortion and related offences", 061 Robbery,2016 Q1,11
Darwin Crime Statistics,"06 Robbery, extortion and related offences", 061 Robbery,2016 Q2,9
Darwin Crime Statistics,"06 Robbery, extortion and related offences", 061 Robbery,2016 Q3,16
Darwin Crime Statistics,"06 Robbery, extortion and related offences", 061 Robbery,2016 Q4,15
Darwin Crime Statistics,"06 Robbery, extortion and related offences", 061 Robbery,2017 Q1,8
Darwin Crime Statistics,"06 Robbery, extortion and related offences", 061 Robbery,2017 Q2,14
Darwin Crime Statistics,"06 Robbery, extortion and related offences", 061 Robbery,2017 Q3,12
Darwin Crime Statistics,"06 Robbery, extortion and related offences", 061 Robbery,2017 Q4,17
Darwin Crime Statistics,"06 Robbery, extortion and related offences", 061 Robbery,2018 Q1,4
Darwin Crime Statistics,"06 Robbery, extortion and related offences", 0621 Blackmail and extortion,2011 Q3,0
Darwin Crime Statistics,"06 Robbery, extortion and related offences", 0621 Blackmail and extortion,2011 Q4,0
Darwin Crime Statistics,"06 Robbery, extortion and related offences", 0621 Blackmail and extortion,2012 Q1,1
Darwin Crime Statistics,"06 Robbery, extortion and related offences", 0621 Blackmail and extortion,2012 Q2,0
Darwin Crime Statistics,"06 Robbery, extortion and related offences", 0621 Blackmail and extortion,2012 Q3,0
Darwin Crime Statistics,"06 Robbery, extortion and related offences", 0621 Blackmail and extortion,2012 Q4,0
Darwin Crime Statistics,"06 Robbery, extortion and related offences", 0621 Blackmail and extortion,2013 Q1,0
Darwin Crime Statistics,"06 Robbery, extortion and related offences", 0621 Blackmail and extortion,2013 Q2,0
Darwin Crime Statistics,"06 Robbery, extortion and related offences", 0621 Blackmail and extortion,2013 Q3,0
Darwin Crime Statistics,"06 Robbery, extortion and related offences", 0621 Blackmail and extortion,2013 Q4,0
Darwin Crime Statistics,"06 Robbery, extortion and related offences", 0621 Blackmail and extortion,2014 Q1,0
Darwin Crime Statistics,"06 Robbery, extortion and related offences", 0621 Blackmail and extortion,2014 Q2,2
Darwin Crime Statistics,"06 Robbery, extortion and related offences", 0621 Blackmail and extortion,2014 Q3,0
Darwin Crime Statistics,"06 Robbery, extortion and related offences", 0621 Blackmail and extortion,2014 Q4,0
Darwin Crime Statistics,"06 Robbery, extortion and related offences", 0621 Blackmail and extortion,2015 Q1,0
Darwin Crime Statistics,"06 Robbery, extortion and related offences", 0621 Blackmail and extortion,2015 Q2,1
Darwin Crime Statistics,"06 Robbery, extortion and related offences", 0621 Blackmail and extortion,2015 Q3,0
Darwin Crime Statistics,"06 Robbery, extortion and related offences", 0621 Blackmail and extortion,2015 Q4,0
Darwin Crime Statistics,"06 Robbery, extortion and related offences", 0621 Blackmail and extortion,2016 Q1,0
Darwin Crime Statistics,"06 Robbery, extortion and related offences", 0621 Blackmail and extortion,2016 Q2,1
Darwin Crime Statistics,"06 Robbery, extortion and related offences", 0621 Blackmail and extortion,2016 Q3,0
Darwin Crime Statistics,"06 Robbery, extortion and related offences", 0621 Blackmail and extortion,2016 Q4,0
Darwin Crime Statistics,"06 Robbery, extortion and related offences", 0621 Blackmail and extortion,2017 Q1,0
Darwin Crime Statistics,"06 Robbery, extortion and related offences", 0621 Blackmail and extortion,2017 Q2,0
Darwin Crime Statistics,"06 Robbery, extortion and related offences", 0621 Blackmail and extortion,2017 Q3,0
Darwin Crime Statistics,"06 Robbery, extortion and related offences", 0621 Blackmail and extortion,2017 Q4,0
Darwin Crime Statistics,"06 Robbery, extortion and related offences", 0621 Blackmail and extortion,2018 Q1,0
Darwin Crime Statistics,0711 Commercial break-ins  ,"  Commercial break-ins, actual",2011 Q3,89
Darwin Crime Statistics,0711 Commercial break-ins  ,"  Commercial break-ins, actual",2011 Q4,85
Darwin Crime Statistics,0711 Commercial break-ins  ,"  Commercial break-ins, actual",2012 Q1,98
Darwin Crime Statistics,0711 Commercial break-ins  ,"  Commercial break-ins, actual",2012 Q2,127
Darwin Crime Statistics,0711 Commercial break-ins  ,"  Commercial break-ins, actual",2012 Q3,137
Darwin Crime Statistics,0711 Commercial break-ins  ,"  Commercial break-ins, actual",2012 Q4,158
Darwin Crime Statistics,0711 Commercial break-ins  ,"  Commercial break-ins, actual",2013 Q1,113
Darwin Crime Statistics,0711 Commercial break-ins  ,"  Commercial break-ins, actual",2013 Q2,146
Darwin Crime Statistics,0711 Commercial break-ins  ,"  Commercial break-ins, actual",2013 Q3,75
Darwin Crime Statistics,0711 Commercial break-ins  ,"  Commercial break-ins, actual",2013 Q4,108
Darwin Crime Statistics,0711 Commercial break-ins  ,"  Commercial break-ins, actual",2014 Q1,99
Darwin Crime Statistics,0711 Commercial break-ins  ,"  Commercial break-ins, actual",2014 Q2,93
Darwin Crime Statistics,0711 Commercial break-ins  ,"  Commercial break-ins, actual",2014 Q3,84
Darwin Crime Statistics,0711 Commercial break-ins  ,"  Commercial break-ins, actual",2014 Q4,82
Darwin Crime Statistics,0711 Commercial break-ins  ,"  Commercial break-ins, actual",2015 Q1,94
Darwin Crime Statistics,0711 Commercial break-ins  ,"  Commercial break-ins, actual",2015 Q2,69
Darwin Crime Statistics,0711 Commercial break-ins  ,"  Commercial break-ins, actual",2015 Q3,72
Darwin Crime Statistics,0711 Commercial break-ins  ,"  Commercial break-ins, actual",2015 Q4,106
Darwin Crime Statistics,0711 Commercial break-ins  ,"  Commercial break-ins, actual",2016 Q1,94
Darwin Crime Statistics,0711 Commercial break-ins  ,"  Commercial break-ins, actual",2016 Q2,155
Darwin Crime Statistics,0711 Commercial break-ins  ,"  Commercial break-ins, actual",2016 Q3,136
Darwin Crime Statistics,0711 Commercial break-ins  ,"  Commercial break-ins, actual",2016 Q4,190
Darwin Crime Statistics,0711 Commercial break-ins  ,"  Commercial break-ins, actual",2017 Q1,229
Darwin Crime Statistics,0711 Commercial break-ins  ,"  Commercial break-ins, actual",2017 Q2,118
Darwin Crime Statistics,0711 Commercial break-ins  ,"  Commercial break-ins, actual",2017 Q3,110
Darwin Crime Statistics,0711 Commercial break-ins  ,"  Commercial break-ins, actual",2017 Q4,127
Darwin Crime Statistics,0711 Commercial break-ins  ,"  Commercial break-ins, actual",2018 Q1,49
Darwin Crime Statistics,0711 Commercial break-ins  ,"  Commercial break-ins, attempted",2011 Q3,8
Darwin Crime Statistics,0711 Commercial break-ins  ,"  Commercial break-ins, attempted",2011 Q4,19
Darwin Crime Statistics,0711 Commercial break-ins  ,"  Commercial break-ins, attempted",2012 Q1,17
Darwin Crime Statistics,0711 Commercial break-ins  ,"  Commercial break-ins, attempted",2012 Q2,27
Darwin Crime Statistics,0711 Commercial break-ins  ,"  Commercial break-ins, attempted",2012 Q3,9
Darwin Crime Statistics,0711 Commercial break-ins  ,"  Commercial break-ins, attempted",2012 Q4,26
Darwin Crime Statistics,0711 Commercial break-ins  ,"  Commercial break-ins, attempted",2013 Q1,15
Darwin Crime Statistics,0711 Commercial break-ins  ,"  Commercial break-ins, attempted",2013 Q2,4
Darwin Crime Statistics,0711 Commercial break-ins  ,"  Commercial break-ins, attempted",2013 Q3,5
Darwin Crime Statistics,0711 Commercial break-ins  ,"  Commercial break-ins, attempted",2013 Q4,4
Darwin Crime Statistics,0711 Commercial break-ins  ,"  Commercial break-ins, attempted",2014 Q1,9
Darwin Crime Statistics,0711 Commercial break-ins  ,"  Commercial break-ins, attempted",2014 Q2,4
Darwin Crime Statistics,0711 Commercial break-ins  ,"  Commercial break-ins, attempted",2014 Q3,6
Darwin Crime Statistics,0711 Commercial break-ins  ,"  Commercial break-ins, attempted",2014 Q4,1
Darwin Crime Statistics,0711 Commercial break-ins  ,"  Commercial break-ins, attempted",2015 Q1,14
Darwin Crime Statistics,0711 Commercial break-ins  ,"  Commercial break-ins, attempted",2015 Q2,6
Darwin Crime Statistics,0711 Commercial break-ins  ,"  Commercial break-ins, attempted",2015 Q3,4
Darwin Crime Statistics,0711 Commercial break-ins  ,"  Commercial break-ins, attempted",2015 Q4,4
Darwin Crime Statistics,0711 Commercial break-ins  ,"  Commercial break-ins, attempted",2016 Q1,7
Darwin Crime Statistics,0711 Commercial break-ins  ,"  Commercial break-ins, attempted",2016 Q2,15
Darwin Crime Statistics,0711 Commercial break-ins  ,"  Commercial break-ins, attempted",2016 Q3,17
Darwin Crime Statistics,0711 Commercial break-ins  ,"  Commercial break-ins, attempted",2016 Q4,21
Darwin Crime Statistics,0711 Commercial break-ins  ,"  Commercial break-ins, attempted",2017 Q1,23
Darwin Crime Statistics,0711 Commercial break-ins  ,"  Commercial break-ins, attempted",2017 Q2,16
Darwin Crime Statistics,0711 Commercial break-ins  ,"  Commercial break-ins, attempted",2017 Q3,11
Darwin Crime Statistics,0711 Commercial break-ins  ,"  Commercial break-ins, attempted",2017 Q4,13
Darwin Crime Statistics,0711 Commercial break-ins  ,"  Commercial break-ins, attempted",2018 Q1,1
Darwin Crime Statistics,0711 House break-ins  ,"  House break-ins, actual",2011 Q3,120
Darwin Crime Statistics,0711 House break-ins  ,"  House break-ins, actual",2011 Q4,169
Darwin Crime Statistics,0711 House break-ins  ,"  House break-ins, actual",2012 Q1,205
Darwin Crime Statistics,0711 House break-ins  ,"  House break-ins, actual",2012 Q2,182
Darwin Crime Statistics,0711 House break-ins  ,"  House break-ins, actual",2012 Q3,164
Darwin Crime Statistics,0711 House break-ins  ,"  House break-ins, actual",2012 Q4,158
Darwin Crime Statistics,0711 House break-ins  ,"  House break-ins, actual",2013 Q1,108
Darwin Crime Statistics,0711 House break-ins  ,"  House break-ins, actual",2013 Q2,103
Darwin Crime Statistics,0711 House break-ins  ,"  House break-ins, actual",2013 Q3,92
Darwin Crime Statistics,0711 House break-ins  ,"  House break-ins, actual",2013 Q4,123
Darwin Crime Statistics,0711 House break-ins  ,"  House break-ins, actual",2014 Q1,123
Darwin Crime Statistics,0711 House break-ins  ,"  House break-ins, actual",2014 Q2,184
Darwin Crime Statistics,0711 House break-ins  ,"  House break-ins, actual",2014 Q3,186
Darwin Crime Statistics,0711 House break-ins  ,"  House break-ins, actual",2014 Q4,165
Darwin Crime Statistics,0711 House break-ins  ,"  House break-ins, actual",2015 Q1,215
Darwin Crime Statistics,0711 House break-ins  ,"  House break-ins, actual",2015 Q2,164
Darwin Crime Statistics,0711 House break-ins  ,"  House break-ins, actual",2015 Q3,93
Darwin Crime Statistics,0711 House break-ins  ,"  House break-ins, actual",2015 Q4,143
Darwin Crime Statistics,0711 House break-ins  ,"  House break-ins, actual",2016 Q1,123
Darwin Crime Statistics,0711 House break-ins  ,"  House break-ins, actual",2016 Q2,132
Darwin Crime Statistics,0711 House break-ins  ,"  House break-ins, actual",2016 Q3,174
Darwin Crime Statistics,0711 House break-ins  ,"  House break-ins, actual",2016 Q4,182
Darwin Crime Statistics,0711 House break-ins  ,"  House break-ins, actual",2017 Q1,237
Darwin Crime Statistics,0711 House break-ins  ,"  House break-ins, actual",2017 Q2,97
Darwin Crime Statistics,0711 House break-ins  ,"  House break-ins, actual",2017 Q3,99
Darwin Crime Statistics,0711 House break-ins  ,"  House break-ins, actual",2017 Q4,123
Darwin Crime Statistics,0711 House break-ins  ,"  House break-ins, actual",2018 Q1,70
Darwin Crime Statistics,0711 House break-ins  ,"  House break-ins, attempted",2011 Q3,28
Darwin Crime Statistics,0711 House break-ins  ,"  House break-ins, attempted",2011 Q4,34
Darwin Crime Statistics,0711 House break-ins  ,"  House break-ins, attempted",2012 Q1,32
Darwin Crime Statistics,0711 House break-ins  ,"  House break-ins, attempted",2012 Q2,34
Darwin Crime Statistics,0711 House break-ins  ,"  House break-ins, attempted",2012 Q3,12
Darwin Crime Statistics,0711 House break-ins  ,"  House break-ins, attempted",2012 Q4,13
Darwin Crime Statistics,0711 House break-ins  ,"  House break-ins, attempted",2013 Q1,18
Darwin Crime Statistics,0711 House break-ins  ,"  House break-ins, attempted",2013 Q2,8
Darwin Crime Statistics,0711 House break-ins  ,"  House break-ins, attempted",2013 Q3,4
Darwin Crime Statistics,0711 House break-ins  ,"  House break-ins, attempted",2013 Q4,3
Darwin Crime Statistics,0711 House break-ins  ,"  House break-ins, attempted",2014 Q1,6
Darwin Crime Statistics,0711 House break-ins  ,"  House break-ins, attempted",2014 Q2,11
Darwin Crime Statistics,0711 House break-ins  ,"  House break-ins, attempted",2014 Q3,6
Darwin Crime Statistics,0711 House break-ins  ,"  House break-ins, attempted",2014 Q4,8
Darwin Crime Statistics,0711 House break-ins  ,"  House break-ins, attempted",2015 Q1,6
Darwin Crime Statistics,0711 House break-ins  ,"  House break-ins, attempted",2015 Q2,1
Darwin Crime Statistics,0711 House break-ins  ,"  House break-ins, attempted",2015 Q3,2
Darwin Crime Statistics,0711 House break-ins  ,"  House break-ins, attempted",2015 Q4,6
Darwin Crime Statistics,0711 House break-ins  ,"  House break-ins, attempted",2016 Q1,12
Darwin Crime Statistics,0711 House break-ins  ,"  House break-ins, attempted",2016 Q2,21
Darwin Crime Statistics,0711 House break-ins  ,"  House break-ins, attempted",2016 Q3,23
Darwin Crime Statistics,0711 House break-ins  ,"  House break-ins, attempted",2016 Q4,19
Darwin Crime Statistics,0711 House break-ins  ,"  House break-ins, attempted",2017 Q1,41
Darwin Crime Statistics,0711 House break-ins  ,"  House break-ins, attempted",2017 Q2,22
Darwin Crime Statistics,0711 House break-ins  ,"  House break-ins, attempted",2017 Q3,22
Darwin Crime Statistics,0711 House break-ins  ,"  House break-ins, attempted",2017 Q4,5
Darwin Crime Statistics,0711 House break-ins  ,"  House break-ins, attempted",2018 Q1,1
Darwin Crime Statistics,08* Theft and related offences (other than MV),08* Theft and related offences (other than MV),2011 Q3,767
Darwin Crime Statistics,08* Theft and related offences (other than MV),08* Theft and related offences (other than MV),2011 Q4,826
Darwin Crime Statistics,08* Theft and related offences (other than MV),08* Theft and related offences (other than MV),2012 Q1,839
Darwin Crime Statistics,08* Theft and related offences (other than MV),08* Theft and related offences (other than MV),2012 Q2,809
Darwin Crime Statistics,08* Theft and related offences (other than MV),08* Theft and related offences (other than MV),2012 Q3,786
Darwin Crime Statistics,08* Theft and related offences (other than MV),08* Theft and related offences (other than MV),2012 Q4,816
Darwin Crime Statistics,08* Theft and related offences (other than MV),08* Theft and related offences (other than MV),2013 Q1,770
Darwin Crime Statistics,08* Theft and related offences (other than MV),08* Theft and related offences (other than MV),2013 Q2,813
Darwin Crime Statistics,08* Theft and related offences (other than MV),08* Theft and related offences (other than MV),2013 Q3,666
Darwin Crime Statistics,08* Theft and related offences (other than MV),08* Theft and related offences (other than MV),2013 Q4,634
Darwin Crime Statistics,08* Theft and related offences (other than MV),08* Theft and related offences (other than MV),2014 Q1,682
Darwin Crime Statistics,08* Theft and related offences (other than MV),08* Theft and related offences (other than MV),2014 Q2,840
Darwin Crime Statistics,08* Theft and related offences (other than MV),08* Theft and related offences (other than MV),2014 Q3,842
Darwin Crime Statistics,08* Theft and related offences (other than MV),08* Theft and related offences (other than MV),2014 Q4,827
Darwin Crime Statistics,08* Theft and related offences (other than MV),08* Theft and related offences (other than MV),2015 Q1,843
Darwin Crime Statistics,08* Theft and related offences (other than MV),08* Theft and related offences (other than MV),2015 Q2,840
Darwin Crime Statistics,08* Theft and related offences (other than MV),08* Theft and related offences (other than MV),2015 Q3,714
Darwin Crime Statistics,08* Theft and related offences (other than MV),08* Theft and related offences (other than MV),2015 Q4,779
Darwin Crime Statistics,08* Theft and related offences (other than MV),08* Theft and related offences (other than MV),2016 Q1,757
Darwin Crime Statistics,08* Theft and related offences (other than MV),08* Theft and related offences (other than MV),2016 Q2,755
Darwin Crime Statistics,08* Theft and related offences (other than MV),08* Theft and related offences (other than MV),2016 Q3,760
Darwin Crime Statistics,08* Theft and related offences (other than MV),08* Theft and related offences (other than MV),2016 Q4,861
Darwin Crime Statistics,08* Theft and related offences (other than MV),08* Theft and related offences (other than MV),2017 Q1,839
Darwin Crime Statistics,08* Theft and related offences (other than MV),08* Theft and related offences (other than MV),2017 Q2,704
Darwin Crime Statistics,08* Theft and related offences (other than MV),08* Theft and related offences (other than MV),2017 Q3,666
Darwin Crime Statistics,08* Theft and related offences (other than MV),08* Theft and related offences (other than MV),2017 Q4,744
Darwin Crime Statistics,08* Theft and related offences (other than MV),08* Theft and related offences (other than MV),2018 Q1,265
Darwin Crime Statistics,081 Motor vehicle theft and related offences, 0812 Illegal use of a motor vehicle,2011 Q3,70
Darwin Crime Statistics,081 Motor vehicle theft and related offences, 0812 Illegal use of a motor vehicle,2011 Q4,102
Darwin Crime Statistics,081 Motor vehicle theft and related offences, 0812 Illegal use of a motor vehicle,2012 Q1,89
Darwin Crime Statistics,081 Motor vehicle theft and related offences, 0812 Illegal use of a motor vehicle,2012 Q2,97
Darwin Crime Statistics,081 Motor vehicle theft and related offences, 0812 Illegal use of a motor vehicle,2012 Q3,94
Darwin Crime Statistics,081 Motor vehicle theft and related offences, 0812 Illegal use of a motor vehicle,2012 Q4,84
Darwin Crime Statistics,081 Motor vehicle theft and related offences, 0812 Illegal use of a motor vehicle,2013 Q1,66
Darwin Crime Statistics,081 Motor vehicle theft and related offences, 0812 Illegal use of a motor vehicle,2013 Q2,81
Darwin Crime Statistics,081 Motor vehicle theft and related offences, 0812 Illegal use of a motor vehicle,2013 Q3,107
Darwin Crime Statistics,081 Motor vehicle theft and related offences, 0812 Illegal use of a motor vehicle,2013 Q4,97
Darwin Crime Statistics,081 Motor vehicle theft and related offences, 0812 Illegal use of a motor vehicle,2014 Q1,100
Darwin Crime Statistics,081 Motor vehicle theft and related offences, 0812 Illegal use of a motor vehicle,2014 Q2,126
Darwin Crime Statistics,081 Motor vehicle theft and related offences, 0812 Illegal use of a motor vehicle,2014 Q3,118
Darwin Crime Statistics,081 Motor vehicle theft and related offences, 0812 Illegal use of a motor vehicle,2014 Q4,122
Darwin Crime Statistics,081 Motor vehicle theft and related offences, 0812 Illegal use of a motor vehicle,2015 Q1,136
Darwin Crime Statistics,081 Motor vehicle theft and related offences, 0812 Illegal use of a motor vehicle,2015 Q2,99
Darwin Crime Statistics,081 Motor vehicle theft and related offences, 0812 Illegal use of a motor vehicle,2015 Q3,80
Darwin Crime Statistics,081 Motor vehicle theft and related offences, 0812 Illegal use of a motor vehicle,2015 Q4,93
Darwin Crime Statistics,081 Motor vehicle theft and related offences, 0812 Illegal use of a motor vehicle,2016 Q1,83
Darwin Crime Statistics,081 Motor vehicle theft and related offences, 0812 Illegal use of a motor vehicle,2016 Q2,103
Darwin Crime Statistics,081 Motor vehicle theft and related offences, 0812 Illegal use of a motor vehicle,2016 Q3,77
Darwin Crime Statistics,081 Motor vehicle theft and related offences, 0812 Illegal use of a motor vehicle,2016 Q4,125
Darwin Crime Statistics,081 Motor vehicle theft and related offences, 0812 Illegal use of a motor vehicle,2017 Q1,108
Darwin Crime Statistics,081 Motor vehicle theft and related offences, 0812 Illegal use of a motor vehicle,2017 Q2,70
Darwin Crime Statistics,081 Motor vehicle theft and related offences, 0812 Illegal use of a motor vehicle,2017 Q3,81
Darwin Crime Statistics,081 Motor vehicle theft and related offences, 0812 Illegal use of a motor vehicle,2017 Q4,91
Darwin Crime Statistics,081 Motor vehicle theft and related offences, 0812 Illegal use of a motor vehicle,2018 Q1,36
Darwin Crime Statistics,081 Motor vehicle theft and related offences, 0813 Theft of motor vehicle parts or contents,2011 Q3,156
Darwin Crime Statistics,081 Motor vehicle theft and related offences, 0813 Theft of motor vehicle parts or contents,2011 Q4,166
Darwin Crime Statistics,081 Motor vehicle theft and related offences, 0813 Theft of motor vehicle parts or contents,2012 Q1,294
Darwin Crime Statistics,081 Motor vehicle theft and related offences, 0813 Theft of motor vehicle parts or contents,2012 Q2,193
Darwin Crime Statistics,081 Motor vehicle theft and related offences, 0813 Theft of motor vehicle parts or contents,2012 Q3,145
Darwin Crime Statistics,081 Motor vehicle theft and related offences, 0813 Theft of motor vehicle parts or contents,2012 Q4,132
Darwin Crime Statistics,081 Motor vehicle theft and related offences, 0813 Theft of motor vehicle parts or contents,2013 Q1,154
Darwin Crime Statistics,081 Motor vehicle theft and related offences, 0813 Theft of motor vehicle parts or contents,2013 Q2,128
Darwin Crime Statistics,081 Motor vehicle theft and related offences, 0813 Theft of motor vehicle parts or contents,2013 Q3,150
Darwin Crime Statistics,081 Motor vehicle theft and related offences, 0813 Theft of motor vehicle parts or contents,2013 Q4,91
Darwin Crime Statistics,081 Motor vehicle theft and related offences, 0813 Theft of motor vehicle parts or contents,2014 Q1,131
Darwin Crime Statistics,081 Motor vehicle theft and related offences, 0813 Theft of motor vehicle parts or contents,2014 Q2,129
Darwin Crime Statistics,081 Motor vehicle theft and related offences, 0813 Theft of motor vehicle parts or contents,2014 Q3,171
Darwin Crime Statistics,081 Motor vehicle theft and related offences, 0813 Theft of motor vehicle parts or contents,2014 Q4,190
Darwin Crime Statistics,081 Motor vehicle theft and related offences, 0813 Theft of motor vehicle parts or contents,2015 Q1,217
Darwin Crime Statistics,081 Motor vehicle theft and related offences, 0813 Theft of motor vehicle parts or contents,2015 Q2,161
Darwin Crime Statistics,081 Motor vehicle theft and related offences, 0813 Theft of motor vehicle parts or contents,2015 Q3,99
Darwin Crime Statistics,081 Motor vehicle theft and related offences, 0813 Theft of motor vehicle parts or contents,2015 Q4,143
Darwin Crime Statistics,081 Motor vehicle theft and related offences, 0813 Theft of motor vehicle parts or contents,2016 Q1,113
Darwin Crime Statistics,081 Motor vehicle theft and related offences, 0813 Theft of motor vehicle parts or contents,2016 Q2,172
Darwin Crime Statistics,081 Motor vehicle theft and related offences, 0813 Theft of motor vehicle parts or contents,2016 Q3,103
Darwin Crime Statistics,081 Motor vehicle theft and related offences, 0813 Theft of motor vehicle parts or contents,2016 Q4,100
Darwin Crime Statistics,081 Motor vehicle theft and related offences, 0813 Theft of motor vehicle parts or contents,2017 Q1,119
Darwin Crime Statistics,081 Motor vehicle theft and related offences, 0813 Theft of motor vehicle parts or contents,2017 Q2,74
Darwin Crime Statistics,081 Motor vehicle theft and related offences, 0813 Theft of motor vehicle parts or contents,2017 Q3,84
Darwin Crime Statistics,081 Motor vehicle theft and related offences, 0813 Theft of motor vehicle parts or contents,2017 Q4,84
Darwin Crime Statistics,081 Motor vehicle theft and related offences, 0813 Theft of motor vehicle parts or contents,2018 Q1,26
Darwin Crime Statistics,12 Property damage offences,12 Property damage offences,2011 Q3,619
Darwin Crime Statistics,12 Property damage offences,12 Property damage offences,2011 Q4,627
Darwin Crime Statistics,12 Property damage offences,12 Property damage offences,2012 Q1,847
Darwin Crime Statistics,12 Property damage offences,12 Property damage offences,2012 Q2,666
Darwin Crime Statistics,12 Property damage offences,12 Property damage offences,2012 Q3,627
Darwin Crime Statistics,12 Property damage offences,12 Property damage offences,2012 Q4,606
Darwin Crime Statistics,12 Property damage offences,12 Property damage offences,2013 Q1,595
Darwin Crime Statistics,12 Property damage offences,12 Property damage offences,2013 Q2,550
Darwin Crime Statistics,12 Property damage offences,12 Property damage offences,2013 Q3,547
Darwin Crime Statistics,12 Property damage offences,12 Property damage offences,2013 Q4,420
Darwin Crime Statistics,12 Property damage offences,12 Property damage offences,2014 Q1,581
Darwin Crime Statistics,12 Property damage offences,12 Property damage offences,2014 Q2,665
Darwin Crime Statistics,12 Property damage offences,12 Property damage offences,2014 Q3,617
Darwin Crime Statistics,12 Property damage offences,12 Property damage offences,2014 Q4,541
Darwin Crime Statistics,12 Property damage offences,12 Property damage offences,2015 Q1,671
Darwin Crime Statistics,12 Property damage offences,12 Property damage offences,2015 Q2,611
Darwin Crime Statistics,12 Property damage offences,12 Property damage offences,2015 Q3,526
Darwin Crime Statistics,12 Property damage offences,12 Property damage offences,2015 Q4,596
Darwin Crime Statistics,12 Property damage offences,12 Property damage offences,2016 Q1,560
Darwin Crime Statistics,12 Property damage offences,12 Property damage offences,2016 Q2,718
Darwin Crime Statistics,12 Property damage offences,12 Property damage offences,2016 Q3,547
Darwin Crime Statistics,12 Property damage offences,12 Property damage offences,2016 Q4,657
Darwin Crime Statistics,12 Property damage offences,12 Property damage offences,2017 Q1,784
Darwin Crime Statistics,12 Property damage offences,12 Property damage offences,2017 Q2,563
Darwin Crime Statistics,12 Property damage offences,12 Property damage offences,2017 Q3,595
Darwin Crime Statistics,12 Property damage offences,12 Property damage offences,2017 Q4,621
Darwin Crime Statistics,12 Property damage offences,12 Property damage offences,2018 Q1,183
Katherine Crime Statistics,01 Homicide and related offences, 0111 Murder,2011 Q3,0
Katherine Crime Statistics,01 Homicide and related offences, 0111 Murder,2011 Q4,1
Katherine Crime Statistics,01 Homicide and related offences, 0111 Murder,2012 Q1,0
Katherine Crime Statistics,01 Homicide and related offences, 0111 Murder,2012 Q2,0
Katherine Crime Statistics,01 Homicide and related offences, 0111 Murder,2012 Q3,1
Katherine Crime Statistics,01 Homicide and related offences, 0111 Murder,2012 Q4,0
Katherine Crime Statistics,01 Homicide and related offences, 0111 Murder,2013 Q1,0
Katherine Crime Statistics,01 Homicide and related offences, 0111 Murder,2013 Q2,0
Katherine Crime Statistics,01 Homicide and related offences, 0111 Murder,2013 Q3,0
Katherine Crime Statistics,01 Homicide and related offences, 0111 Murder,2013 Q4,1
Katherine Crime Statistics,01 Homicide and related offences, 0111 Murder,2014 Q1,0
Katherine Crime Statistics,01 Homicide and related offences, 0111 Murder,2014 Q2,1
Katherine Crime Statistics,01 Homicide and related offences, 0111 Murder,2014 Q3,0
Katherine Crime Statistics,01 Homicide and related offences, 0111 Murder,2014 Q4,0
Katherine Crime Statistics,01 Homicide and related offences, 0111 Murder,2015 Q1,0
Katherine Crime Statistics,01 Homicide and related offences, 0111 Murder,2015 Q2,1
Katherine Crime Statistics,01 Homicide and related offences, 0111 Murder,2015 Q3,0
Katherine Crime Statistics,01 Homicide and related offences, 0111 Murder,2015 Q4,0
Katherine Crime Statistics,01 Homicide and related offences, 0111 Murder,2016 Q1,0
Katherine Crime Statistics,01 Homicide and related offences, 0111 Murder,2016 Q2,0
Katherine Crime Statistics,01 Homicide and related offences, 0111 Murder,2016 Q3,0
Katherine Crime Statistics,01 Homicide and related offences, 0111 Murder,2016 Q4,1
Katherine Crime Statistics,01 Homicide and related offences, 0111 Murder,2017 Q1,1
Katherine Crime Statistics,01 Homicide and related offences, 0111 Murder,2017 Q2,1
Katherine Crime Statistics,01 Homicide and related offences, 0111 Murder,2017 Q3,0
Katherine Crime Statistics,01 Homicide and related offences, 0111 Murder,2017 Q4,0
Katherine Crime Statistics,01 Homicide and related offences, 0111 Murder,2018 Q1,0
Katherine Crime Statistics,01 Homicide and related offences, 0121 Attempted Murder,2011 Q3,0
Katherine Crime Statistics,01 Homicide and related offences, 0121 Attempted Murder,2011 Q4,0
Katherine Crime Statistics,01 Homicide and related offences, 0121 Attempted Murder,2012 Q1,0
Katherine Crime Statistics,01 Homicide and related offences, 0121 Attempted Murder,2012 Q2,0
Katherine Crime Statistics,01 Homicide and related offences, 0121 Attempted Murder,2012 Q3,0
Katherine Crime Statistics,01 Homicide and related offences, 0121 Attempted Murder,2012 Q4,0
Katherine Crime Statistics,01 Homicide and related offences, 0121 Attempted Murder,2013 Q1,0
